"","scenario","iteration","SpawnBio_om","SSB_MSY_om","F_MSY_om","annual_F_om","bmsst_om","ssb_ssbmsst_om","F_Fmsy_om","SpawnBio_em","SSB_MSY_em","F_MSY_em","annual_F_em","bmsst_em","ssb_ssbmsst_em","F_Fmsy_em","ID","species","annual_F_re","bmsst_re","F_Fmsy_re","F_MSY_re","SpawnBio_re","SSB_MSY_re","ssb_ssbmsst_re"
"104","FRSonly_SQ_25_yrfwd",103,3696.95,1307.79,0.139594,0.041,1131.23835,3.26805575500512,0.293708898663266,3947.15,1302.92,0.139619,0.038,1127.0258,3.50227119911541,0.272169260630716,"FRSonly_SQ_25_yrfwd-103","FRSonly_SQ_25_yrfwd",-0.0731707317073171,-0.00372383945434641,-0.0733366885735553,0.000179090791867826,0.0676774097566914,-0.00372383945434656,0.0716681298204825
"105","FRSonly_SQ_25_yrfwd",104,3307.35,1307.79,0.139594,0.036,1131.23835,2.92365441818694,0.257890740289697,3177.75,1324.89,0.139665,0.038,1146.02985,2.77283353483332,0.272079619088533,"FRSonly_SQ_25_yrfwd-104","FRSonly_SQ_25_yrfwd",0.0555555555555556,0.0130754937719361,0.0550189540845752,0.000508617848904792,-0.0391854505873282,0.013075493771936,-0.0515864263626431
"106","FRSonly_SQ_25_yrfwd",106,3721.87,1307.79,0.139594,0.035,1131.23835,3.29008471114863,0.250727108614983,5113.98,1317.25,0.139712,0.025,1139.42125,4.48822593048883,0.178939532753092,"FRSonly_SQ_25_yrfwd-106","FRSonly_SQ_25_yrfwd",-0.285714285714286,0.00723357725628754,-0.286317567567568,0.00084530853761628,0.374035095261253,0.00723357725628735,0.364167285808854
"107","FRSonly_SQ_25_yrfwd",107,3449.15,1307.79,0.139594,0.035,1131.23835,3.0490037753759,0.250727108614983,4134.58,1311.28,0.139686,0.029,1134.2572,3.64518735256871,0.207608493335051,"FRSonly_SQ_25_yrfwd-107","FRSonly_SQ_25_yrfwd",-0.171428571428571,0.0026686241674888,-0.171974285182481,0.000659054114073733,0.198724323384022,0.00266862416748867,0.195533892744791
"108","FRSonly_SQ_25_yrfwd",108,3076.17,1307.79,0.139594,0.033,1131.23835,2.71929430256674,0.236399845265556,2738.87,1323.92,0.139647,0.037,1145.1908,2.39162766588764,0.264953776307404,"FRSonly_SQ_25_yrfwd-108","FRSonly_SQ_25_yrfwd",0.121212121212121,0.0123337844761011,0.120786589389567,0.000379672478759814,-0.109649336675151,0.012333784476101,-0.120496937889296
"109","FRSonly_SQ_25_yrfwd",11,3217.12,1307.79,0.139594,0.031,1131.23835,2.84389227080217,0.222072581916128,3165.49,1310.69,0.139674,0.032,1133.74685,2.79206067915426,0.229104915732348,"FRSonly_SQ_25_yrfwd-11","FRSonly_SQ_25_yrfwd",0.0322580645161291,0.00221748139991907,0.0316668260239166,0.000573090533977082,-0.0160485154423833,0.00221748139991902,-0.0182255819533182
"110","FRSonly_SQ_25_yrfwd",110,3955.79,1307.79,0.139594,0.036,1131.23835,3.4968669511602,0.257890740289697,4153.17,1308.76,0.139679,0.034,1132.0774,3.66862725110492,0.243415259273047,"FRSonly_SQ_25_yrfwd-110","FRSonly_SQ_25_yrfwd",-0.0555555555555554,0.000741709295834996,-0.0561302860288391,0.000608908692350687,0.049896480854646,0.000741709295834979,0.0491183400294152
"111","FRSonly_SQ_25_yrfwd",111,3870.62,1307.79,0.139594,0.036,1131.23835,3.42157777801645,0.257890740289697,3828.02,1281.81,0.139695,0.037,1108.76565,3.45250594659025,0.264862736676331,"FRSonly_SQ_25_yrfwd-111","FRSonly_SQ_25_yrfwd",0.0277777777777778,-0.0198655747482392,0.0270346906554357,0.000723526799146222,-0.0110059887046519,-0.0198655747482394,0.00903915403370479
"112","FRSonly_SQ_25_yrfwd",112,4557.57,1307.79,0.139594,0.035,1131.23835,4.02883265051967,0.250727108614983,4397.66,1305.76,0.139676,0.036,1129.4824,3.89351795123147,0.257739339614536,"FRSonly_SQ_25_yrfwd-112","FRSonly_SQ_25_yrfwd",0.0285714285714284,-0.00155223697994325,0.0279675821186172,0.000587417797326524,-0.035086679963226,-0.00155223697994324,-0.0335865773106141
"113","FRSonly_SQ_25_yrfwd",114,3609.82,1307.79,0.139594,0.03,1131.23835,3.19103396733323,0.214908950241414,4242.55,1314.86,0.139689,0.025,1137.3539,3.73019339011367,0.178968995411235,"FRSonly_SQ_25_yrfwd-114","FRSonly_SQ_25_yrfwd",-0.166666666666667,0.00540606672325066,-0.167233401818802,0.000680545009097896,0.175280207877401,0.00540606672325063,0.168960728183979
"114","FRSonly_SQ_25_yrfwd",115,4544.64,1307.79,0.139594,0.028,1131.23835,4.01740269855597,0.200581686891987,4714.27,1291.72,0.13968,0.028,1117.3378,4.21919852707033,0.200458190148912,"FRSonly_SQ_25_yrfwd-115","FRSonly_SQ_25_yrfwd",0,-0.0122879055505852,-0.00061569301260023,0.000616072324025408,0.0373252886917336,-0.0122879055505853,0.0502304209102297
"115","FRSonly_SQ_25_yrfwd",116,2734.81,1307.79,0.139594,0.037,1131.23835,2.41753649882892,0.265054371964411,3021.44,1295.4,0.139675,0.033,1120.521,2.69645995032668,0.236262752819044,"FRSonly_SQ_25_yrfwd-116","FRSonly_SQ_25_yrfwd",-0.108108108108108,-0.00947399811896396,-0.108625331972387,0.000580254165651803,0.104808012256793,-0.00947399811896396,0.115375073606076
"116","FRSonly_SQ_25_yrfwd",117,3049.05,1307.79,0.139594,0.035,1131.23835,2.6953205750141,0.250727108614983,2931.37,1331.76,0.139659,0.037,1151.9724,2.54465297953319,0.264931010532798,"FRSonly_SQ_25_yrfwd-117","FRSonly_SQ_25_yrfwd",0.057142857142857,0.018328630743468,0.0566508424090103,0.000465636058856466,-0.0385956281464719,0.018328630743468,-0.0558996940392223
"117","FRSonly_SQ_25_yrfwd",118,3948.57,1307.79,0.139594,0.028,1131.23835,3.49048456499022,0.200581686891987,3616.42,1325.44,0.139679,0.03,1146.5056,3.1542977199588,0.214778169946807,"FRSonly_SQ_25_yrfwd-118","FRSonly_SQ_25_yrfwd",0.0714285714285714,0.013496050589162,0.0707765662698042,0.000608908692350687,-0.0841190608245517,0.0134960505891619,-0.0963152361146038
"118","FRSonly_SQ_25_yrfwd",12,4084.92,1307.79,0.139594,0.031,1131.23835,3.61101619300654,0.222072581916128,3426.38,1307.51,0.13966,0.037,1130.99615,3.02952401738945,0.264929113561507,"FRSonly_SQ_25_yrfwd-12","FRSonly_SQ_25_yrfwd",0.193548387096774,-0.000214101652405889,0.192984344467901,0.000472799690531187,-0.161212459485131,-0.000214101652405946,-0.161032835228839
"119","FRSonly_SQ_25_yrfwd",120,4246.57,1307.79,0.139594,0.04,1131.23835,3.75391269222795,0.286545266988553,4514.21,1311.35,0.139643,0.038,1134.31775,3.97966971776647,0.272122483762165,"FRSonly_SQ_25_yrfwd-120","FRSonly_SQ_25_yrfwd",-0.05,0.00272214958059023,-0.0503333500426087,0.00035101795206093,0.0630249825153007,0.00272214958059011,0.0601391252401609
"120","FRSonly_SQ_25_yrfwd",121,2778.63,1307.79,0.139594,0.04,1131.23835,2.45627280935092,0.286545266988553,2976.2,1301.81,0.139661,0.038,1126.06565,2.64300753690515,0.272087411661094,"FRSonly_SQ_25_yrfwd-121","FRSonly_SQ_25_yrfwd",-0.05,-0.00457259957638446,-0.0504557464145325,0.000479963322205908,0.0711033854813342,-0.0045725995763846,0.0760236105872852
