Scen_name,N_years,F_scen,Neff_len_Resfish,Resfish_index_CV,Resfish_sd_obs,Recruitment
NSE_SQ,25,cf,0,0,0,normal
NSE_poorrec,25,cf,0,0,0,poor
LSE_SQ,25,cf,30,0.24,0.2,normal
LSE_poorrec,25,cf,30,0.24,0.2,poor
ISE_SQ,25,cf,45,0.18,0.15,normal
ISE_poorrec,25,cf,45,0.18,0.15,poor
HSE_SQ,25,cf,60,0.15,0.1,normal
HSE_poorrec,25,cf,60,0.15,0.1,poor
ISESelex_SQ,25,cf,45,0.18,0.15,normal
ISESelex_poorrec,25,cf,45,0.18,0.15,poor
XLSE_SQ,25,cf,15,0.3,0.3,normal
XLSE_poorrec,25,cf,15,0.3,0.3,poor
