"Fleet","Fleet_name","Area","Seas","Obs","Exp","SE","SE_input","year","model_run","iteration","scenario"
1,"Comm",1,1,45.5118,41.6105,0.13,0.13,63,"em","1","opaka-sim"
1,"Comm",1,1,44.8928,42.3464,0.13,0.13,64,"em","1","opaka-sim"
1,"Comm",1,1,45.5962,45.7086,0.13,0.13,65,"em","1","opaka-sim"
1,"Comm",1,1,41.6238,47.7742,0.13,0.13,66,"em","1","opaka-sim"
1,"Comm",1,1,46.5181,49.9536,0.13,0.13,67,"em","1","opaka-sim"
1,"Comm",1,1,43.625,50.5541,0.13,0.13,68,"em","1","opaka-sim"
1,"Comm",1,1,58.5009,51.7543,0.13,0.13,69,"em","1","opaka-sim"
1,"Comm",1,1,44.0547,51.9365,0.13,0.13,70,"em","1","opaka-sim"
1,"Comm",1,1,66.3389,54.5667,0.13,0.13,71,"em","1","opaka-sim"
1,"Comm",1,1,71.6297,60.1322,0.13,0.13,72,"em","1","opaka-sim"
1,"Comm",1,1,73.348,66.0155,0.13,0.13,73,"em","1","opaka-sim"
1,"Comm",1,1,60.8425,69.2954,0.13,0.13,74,"em","1","opaka-sim"
1,"Comm",1,1,67.2857,70.5282,0.13,0.13,75,"em","1","opaka-sim"
3,"ResFish",1,1,1.38756,1.76498,0.25,0.25,69,"em","1","opaka-sim"
3,"ResFish",1,1,2.00352,1.88084,0.25,0.25,70,"em","1","opaka-sim"
3,"ResFish",1,1,2.79785,2.15526,0.25,0.25,71,"em","1","opaka-sim"
3,"ResFish",1,1,2.51576,2.60116,0.25,0.25,72,"em","1","opaka-sim"
3,"ResFish",1,1,2.59724,2.89425,0.25,0.25,73,"em","1","opaka-sim"
3,"ResFish",1,1,3.65587,2.81186,0.25,0.25,74,"em","1","opaka-sim"
3,"ResFish",1,1,2.02502,2.48419,0.25,0.25,75,"em","1","opaka-sim"
1,"Comm",1,1,1,90.5711,0.1,0.1,1,"om","1","opaka-sim"
1,"Comm",1,1,1,86.9681,0.1,0.1,2,"om","1","opaka-sim"
1,"Comm",1,1,1,83.2087,0.1,0.1,3,"om","1","opaka-sim"
1,"Comm",1,1,1,80.881,0.1,0.1,4,"om","1","opaka-sim"
1,"Comm",1,1,1,81.4617,0.1,0.1,5,"om","1","opaka-sim"
1,"Comm",1,1,1,83.0689,0.1,0.1,6,"om","1","opaka-sim"
1,"Comm",1,1,1,82.577,0.1,0.1,7,"om","1","opaka-sim"
1,"Comm",1,1,1,81.4402,0.1,0.1,8,"om","1","opaka-sim"
1,"Comm",1,1,1,77.6948,0.1,0.1,9,"om","1","opaka-sim"
1,"Comm",1,1,1,76.4475,0.1,0.1,10,"om","1","opaka-sim"
1,"Comm",1,1,1,72.8019,0.1,0.1,11,"om","1","opaka-sim"
1,"Comm",1,1,1,68.6987,0.1,0.1,12,"om","1","opaka-sim"
1,"Comm",1,1,1,67.1451,0.1,0.1,13,"om","1","opaka-sim"
1,"Comm",1,1,1,66.4543,0.1,0.1,14,"om","1","opaka-sim"
1,"Comm",1,1,1,63.0892,0.1,0.1,15,"om","1","opaka-sim"
1,"Comm",1,1,1,60.7412,0.1,0.1,16,"om","1","opaka-sim"
1,"Comm",1,1,1,58.7866,0.1,0.1,17,"om","1","opaka-sim"
1,"Comm",1,1,1,56.2941,0.1,0.1,18,"om","1","opaka-sim"
1,"Comm",1,1,1,56.8027,0.1,0.1,19,"om","1","opaka-sim"
1,"Comm",1,1,1,59.9361,0.1,0.1,20,"om","1","opaka-sim"
1,"Comm",1,1,1,59.6241,0.1,0.1,21,"om","1","opaka-sim"
1,"Comm",1,1,1,57.505,0.1,0.1,22,"om","1","opaka-sim"
1,"Comm",1,1,1,54.8928,0.1,0.1,23,"om","1","opaka-sim"
1,"Comm",1,1,1,53.8641,0.1,0.1,24,"om","1","opaka-sim"
1,"Comm",1,1,1,53.693,0.1,0.1,25,"om","1","opaka-sim"
1,"Comm",1,1,1,51.9772,0.1,0.1,26,"om","1","opaka-sim"
1,"Comm",1,1,1,48.2392,0.1,0.1,27,"om","1","opaka-sim"
1,"Comm",1,1,1,46.564,0.1,0.1,28,"om","1","opaka-sim"
1,"Comm",1,1,1,43.8239,0.1,0.1,29,"om","1","opaka-sim"
1,"Comm",1,1,1,42.7365,0.1,0.1,30,"om","1","opaka-sim"
1,"Comm",1,1,1,44.447,0.1,0.1,31,"om","1","opaka-sim"
1,"Comm",1,1,1,48.0015,0.1,0.1,32,"om","1","opaka-sim"
1,"Comm",1,1,1,48.2748,0.1,0.1,33,"om","1","opaka-sim"
1,"Comm",1,1,1,45.8721,0.1,0.1,34,"om","1","opaka-sim"
1,"Comm",1,1,1,43.0537,0.1,0.1,35,"om","1","opaka-sim"
1,"Comm",1,1,1,42.0053,0.1,0.1,36,"om","1","opaka-sim"
1,"Comm",1,1,1,43.1086,0.1,0.1,37,"om","1","opaka-sim"
1,"Comm",1,1,1,45.6039,0.1,0.1,38,"om","1","opaka-sim"
1,"Comm",1,1,1,43.2893,0.1,0.1,39,"om","1","opaka-sim"
1,"Comm",1,1,1,42.4523,0.1,0.1,40,"om","1","opaka-sim"
1,"Comm",1,1,1,45.9476,0.1,0.1,41,"om","1","opaka-sim"
1,"Comm",1,1,1,44.739,0.1,0.1,42,"om","1","opaka-sim"
1,"Comm",1,1,1,42.2833,0.1,0.1,43,"om","1","opaka-sim"
1,"Comm",1,1,1,42.5059,0.1,0.1,44,"om","1","opaka-sim"
1,"Comm",1,1,1,44.6179,0.1,0.1,45,"om","1","opaka-sim"
1,"Comm",1,1,1,46.3144,0.1,0.1,46,"om","1","opaka-sim"
1,"Comm",1,1,1,45.0861,0.1,0.1,47,"om","1","opaka-sim"
1,"Comm",1,1,1,43.7129,0.1,0.1,48,"om","1","opaka-sim"
1,"Comm",1,1,1,41.8542,0.1,0.1,49,"om","1","opaka-sim"
1,"Comm",1,1,1,39.2341,0.1,0.1,50,"om","1","opaka-sim"
1,"Comm",1,1,1,36.3428,0.1,0.1,51,"om","1","opaka-sim"
1,"Comm",1,1,1,33.1525,0.1,0.1,52,"om","1","opaka-sim"
1,"Comm",1,1,1,31.5045,0.1,0.1,53,"om","1","opaka-sim"
1,"Comm",1,1,1,31.2159,0.1,0.1,54,"om","1","opaka-sim"
1,"Comm",1,1,1,31.3282,0.1,0.1,55,"om","1","opaka-sim"
1,"Comm",1,1,1,33.746,0.1,0.1,56,"om","1","opaka-sim"
1,"Comm",1,1,1,34.2809,0.1,0.1,57,"om","1","opaka-sim"
1,"Comm",1,1,1,37.0002,0.1,0.1,58,"om","1","opaka-sim"
1,"Comm",1,1,1,39.0011,0.1,0.1,59,"om","1","opaka-sim"
1,"Comm",1,1,1,40.082,0.1,0.1,60,"om","1","opaka-sim"
1,"Comm",1,1,1,42.0648,0.1,0.1,61,"om","1","opaka-sim"
1,"Comm",1,1,1,42.4385,0.1,0.1,62,"om","1","opaka-sim"
1,"Comm",1,1,1,42.4785,0.1,0.1,63,"om","1","opaka-sim"
1,"Comm",1,1,1,43.1255,0.1,0.1,64,"om","1","opaka-sim"
1,"Comm",1,1,1,45.1787,0.1,0.1,65,"om","1","opaka-sim"
