"year","Area","Seas","Bio_smry","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","deadB_1","deadN_1","deadB_2","deadN_2","F_1","F_2","SPRratio","rec_dev","raw_rec_dev","model_run","iteration","scenario"
7,1,1,3209.42,2842.43,340.371,79.6893,27.6718,134.197,43.7202,79.6893,27.6718,134.197,43.7202,0.0269371,0.0478996,0.453519,0.401754,0.401754,"em","4","opaka-sim"
8,1,1,3221.67,2801.96,271.45,48.3411,17.6716,82.4809,28.0646,48.3411,17.6716,82.4809,28.0646,0.0160007,0.0290796,0.323382,0.176974,0.176974,"em","4","opaka-sim"
9,1,1,3337.04,2913.7,231.843,55.2171,20.8471,88.597,30.9645,55.2171,20.8471,88.597,30.9645,0.0173038,0.0298167,0.334091,0.0152625,0.0152625,"em","4","opaka-sim"
10,1,1,3425.33,3099.85,210.866,90.3375,33.3022,150.688,52.2015,90.3375,33.3022,150.688,52.2015,0.0277742,0.0492819,0.46158,-0.0856151,-0.0856151,"em","4","opaka-sim"
11,1,1,3380.4,3117.25,194.474,82.6011,29.3232,142.94,48.1364,82.6011,29.3232,142.94,48.1364,0.0256968,0.0468316,0.444794,-0.167071,-0.167071,"em","4","opaka-sim"
12,1,1,3307.91,3078.67,180.55,84.697,28.9814,146.35,47.7171,84.697,28.9814,146.35,47.7171,0.0270534,0.048895,0.457475,-0.240181,-0.240181,"em","4","opaka-sim"
13,1,1,3190.29,2981.67,168.803,81.0386,26.9199,139.143,44.0996,81.0386,26.9199,139.143,44.0996,0.0269175,0.0481552,0.454347,-0.304352,-0.304352,"em","4","opaka-sim"
14,1,1,3051.14,2858.31,162.976,82.5325,26.809,143.604,44.5122,82.5325,26.809,143.604,44.5122,0.0288256,0.0521459,0.475195,-0.33525,-0.33525,"em","4","opaka-sim"
15,1,1,2882.38,2702.53,149.039,86.642,27.7087,151.589,46.247,86.642,27.7087,151.589,46.247,0.0322639,0.0586232,0.507515,-0.418781,-0.418781,"em","4","opaka-sim"
16,1,1,2685.88,2516.7,145.603,82.0439,26.0109,142.281,42.9903,82.0439,26.0109,142.281,42.9903,0.0328728,0.0591876,0.511188,-0.43421,-0.43421,"em","4","opaka-sim"
17,1,1,2494.25,2333.96,153.534,77.6209,24.5291,133.43,40.1289,77.6209,24.5291,133.43,40.1289,0.0335452,0.0598989,0.51545,-0.372258,-0.372258,"em","4","opaka-sim"
18,1,1,2313.37,2160.94,164.317,74.8218,23.6278,131.022,39.3742,74.8218,23.6278,131.022,39.3742,0.0350211,0.0637163,0.530887,-0.294646,-0.294646,"em","4","opaka-sim"
19,1,1,2142.38,1988.89,192.077,72.0491,22.9208,122.14,36.9148,72.0491,22.9208,122.14,36.9148,0.0365553,0.0644726,0.537583,-0.127301,-0.127301,"em","4","opaka-sim"
20,1,1,1996.19,1832.38,292.778,65.91,21.3696,114.092,35.0152,65.91,21.3696,114.092,35.0152,0.0359941,0.0650425,0.537442,0.30614,0.30614,"em","4","opaka-sim"
21,1,1,1893.89,1703.97,266.256,63.3185,21.1876,110.147,34.7971,63.3185,21.1876,110.147,34.7971,0.0367745,0.0671089,0.545234,0.222471,0.222471,"em","4","opaka-sim"
22,1,1,1838.69,1602.79,219.389,66.6862,23.7147,111.024,36.9271,66.6862,23.7147,111.024,36.9271,0.0402819,0.0710333,0.565001,0.0389187,0.0389187,"em","4","opaka-sim"
23,1,1,1813.08,1538.51,201.889,77.4692,29.7243,122.536,43.3082,77.4692,29.7243,122.536,43.3082,0.047059,0.0802607,0.602975,-0.0371907,-0.0371907,"em","4","opaka-sim"
24,1,1,1782.37,1533.07,206.441,75.3994,29.7126,125.376,45.7873,75.3994,29.7126,125.376,45.7873,0.0460175,0.0827518,0.605741,-0.0142751,-0.0142751,"em","4","opaka-sim"
25,1,1,1754.4,1535.81,171.542,78.5876,30.7726,131.67,48.2567,78.5876,30.7726,131.67,48.2567,0.0487695,0.087832,0.622093,-0.199773,-0.199773,"em","4","opaka-sim"
26,1,1,1710.84,1506.54,164.641,82.9058,32.164,132.523,48.2583,82.9058,32.164,132.523,48.2583,0.0529317,0.0905601,0.635987,-0.237451,-0.237451,"em","4","opaka-sim"
27,1,1,1650.12,1457.49,156.899,86.0626,33.1285,118.951,42.9357,86.0626,33.1285,118.951,42.9357,0.0567244,0.0838459,0.631475,-0.279663,-0.279663,"em","4","opaka-sim"
28,1,1,1586.09,1413.92,162.497,83.5387,31.6236,115.56,41.1811,83.5387,31.6236,115.56,41.1811,0.0574272,0.0845948,0.63432,-0.239001,-0.239001,"em","4","opaka-sim"
29,1,1,1516.73,1352.27,192.62,77.4145,28.9866,106.88,37.6878,77.4145,28.9866,106.88,37.6878,0.0556804,0.0817095,0.625233,-0.0604611,-0.0604611,"em","4","opaka-sim"
30,1,1,1458.63,1293.36,246.446,78.9286,29.4497,107.283,37.7063,78.9286,29.4497,107.283,37.7063,0.0595888,0.0860549,0.641358,0.194751,0.194751,"em","4","opaka-sim"
31,1,1,1408.74,1225.4,297.884,65.3173,24.7153,92.2173,32.8029,65.3173,24.7153,92.2173,32.8029,0.051154,0.0769605,0.60565,0.395384,0.395384,"em","4","opaka-sim"
32,1,1,1413.77,1190.79,203.637,71.3889,28.1049,99.087,36.4507,71.3889,28.1049,99.087,36.4507,0.0565362,0.0843483,0.632016,0.0210942,0.0210942,"em","4","opaka-sim"
33,1,1,1430.74,1171.7,182.245,80.9853,33.8265,106.556,41.1249,80.9853,33.8265,106.556,41.1249,0.0632909,0.0908129,0.656698,-0.086406,-0.086406,"em","4","opaka-sim"
34,1,1,1438.95,1185.3,167.727,78.8498,33.9365,102.975,40.8163,78.8498,33.9365,102.975,40.8163,0.0595688,0.0856994,0.640683,-0.171917,-0.171917,"em","4","opaka-sim"
35,1,1,1444.9,1243.83,182.205,81.886,34.2441,109.562,42.8562,81.886,34.2441,109.562,42.8562,0.0615423,0.0895238,0.651222,-0.0992991,-0.0992991,"em","4","opaka-sim"
36,1,1,1427.3,1246.29,178.498,75.0042,30.3746,101.162,38.5438,75.0042,30.3746,101.162,38.5438,0.0569677,0.0827213,0.629885,-0.12026,-0.12026,"em","4","opaka-sim"
37,1,1,1412.95,1235.97,184.353,82.0032,32.5059,109.907,41.0292,82.0032,32.5059,109.907,41.0292,0.063759,0.0915398,0.658768,-0.0862592,-0.0862592,"em","4","opaka-sim"
38,1,1,1375.59,1193.27,200.61,82.1832,32.4959,110.231,40.8725,82.1832,32.4959,110.231,40.8725,0.0659603,0.0949268,0.668191,0.00566977,0.00566977,"em","4","opaka-sim"
39,1,1,1336.3,1151.44,168.23,81.8878,32.512,110.671,41.1552,81.8878,32.512,110.671,41.1552,0.0680945,0.0989137,0.677985,-0.162617,-0.162617,"em","4","opaka-sim"
40,1,1,1297,1107.54,151.237,78.0511,31.4375,106.978,40.2141,78.0511,31.4375,106.978,40.2141,0.0668453,0.0988301,0.675736,-0.260415,-0.260415,"em","4","opaka-sim"
41,1,1,1261.68,1076.45,137.719,79.069,32.2341,105.071,39.8423,79.069,32.2341,105.071,39.8423,0.069145,0.0995595,0.680707,-0.347514,-0.347514,"em","4","opaka-sim"
42,1,1,1218.7,1055.95,139.929,80.8619,32.6631,111.498,42.1098,80.8619,32.6631,111.498,42.1098,0.0734769,0.109373,0.70125,-0.323989,-0.323989,"em","4","opaka-sim"
43,1,1,1157.04,1009.4,174.448,68.2167,27.1767,93.6961,35.0113,68.2167,27.1767,93.6961,35.0113,0.0647205,0.0955755,0.667007,-0.0875032,-0.0875032,"em","4","opaka-sim"
44,1,1,1121.02,976.383,217.123,59.5945,23.46,82.6228,30.5933,59.5945,23.46,82.6228,30.5933,0.0583707,0.0867288,0.640114,0.144733,0.144733,"em","4","opaka-sim"
45,1,1,1112.4,950.948,245.541,61.955,24.5726,85.2195,31.7608,61.955,24.5726,85.2195,31.7608,0.0621474,0.0917269,0.656073,0.279583,0.279583,"em","4","opaka-sim"
46,1,1,1118.77,922.551,184.846,53.1086,21.8938,73.573,28.2751,53.1086,21.8938,73.573,28.2751,0.0528655,0.0793754,0.614487,0.00865077,0.00865077,"em","4","opaka-sim"
47,1,1,1164.38,940.816,223.948,54.7756,23.6425,71.9793,28.7156,54.7756,23.6425,71.9793,28.7156,0.051774,0.0746759,0.60232,0.200668,0.200668,"em","4","opaka-sim"
48,1,1,1222.85,998.3,142.727,67.9913,29.7653,84.4459,34.2216,67.9913,29.7653,84.4459,34.2216,0.0607086,0.0831704,0.638445,-0.259502,-0.259502,"em","4","opaka-sim"
49,1,1,1255.36,1055.52,152.666,71.212,30.6686,92.8859,37.3698,71.212,30.6686,92.8859,37.3698,0.0620904,0.0884291,0.65041,-0.200389,-0.200389,"em","4","opaka-sim"
50,1,1,1263.74,1074.62,153.168,71.3407,30.2534,96.7997,38.2366,71.3407,30.2534,96.7997,38.2366,0.061012,0.0903229,0.651564,-0.196099,-0.196099,"em","4","opaka-sim"
51,1,1,1251.93,1097.92,173.948,68.9355,27.9739,94.1024,36.0155,68.9355,27.9739,94.1024,36.0155,0.0598696,0.0878961,0.645164,-0.0686166,-0.0686166,"em","4","opaka-sim"
52,1,1,1233.73,1077.27,213.144,68.6247,27.2522,92.1385,34.4692,68.6247,27.2522,92.1385,34.4692,0.0609194,0.0876318,0.646764,0.144157,0.144157,"em","4","opaka-sim"
53,1,1,1217.75,1049.36,788.269,60.0298,23.7597,82.0128,30.5238,60.0298,23.7597,82.0128,30.5238,0.0541572,0.0793103,0.61724,1.46337,1.46337,"em","4","opaka-sim"
54,1,1,1291.49,1037.64,159.833,60.4269,24.4194,81.0225,31.1839,60.4269,24.4194,81.0225,31.1839,0.0542486,0.0782543,0.615344,-0.124472,-0.124472,"em","4","opaka-sim"
55,1,1,1445.15,1042.66,150.236,63.2568,29.66,82.5451,35.7243,63.2568,29.66,82.5451,35.7243,0.0517828,0.074682,0.602353,-0.182348,-0.182348,"em","4","opaka-sim"
56,1,1,1614.37,1132.26,145.021,74.2748,38.3088,67.5804,31.1249,74.2748,38.3088,67.5804,31.1249,0.0470667,0.0505519,0.531381,-0.231453,-0.231453,"em","4","opaka-sim"
57,1,1,1753.61,1554.83,214.011,80.8952,36.3412,73.7749,31.3875,80.8952,36.3412,73.7749,31.3875,0.0473743,0.0475633,0.523962,0.100376,0.100376,"em","4","opaka-sim"
58,1,1,1832.27,1672.12,198.313,78.1544,31.4765,75.0494,28.9991,78.1544,31.4765,75.0494,28.9991,0.0445415,0.0455468,0.508973,0.0171947,0.0171947,"em","4","opaka-sim"
59,1,1,1875.02,1697.53,152.566,73.3119,27.7612,71.7642,26.0031,73.3119,27.7612,71.7642,26.0031,0.0414772,0.0427826,0.490046,-0.242294,-0.242294,"em","4","opaka-sim"
60,1,1,1896.7,1694.5,280.955,72.9062,27.1995,69.1756,24.3354,72.9062,27.1995,69.1756,24.3354,0.0407272,0.0409202,0.481386,0.373786,0.373786,"em","4","opaka-sim"
61,1,1,1909.39,1712.38,133.979,74.2084,27.1219,70.0152,24.1829,74.2084,27.1219,70.0152,24.1829,0.0413999,0.0413344,0.485137,-0.363211,-0.363211,"em","4","opaka-sim"
62,1,1,1912.37,1711.82,564.026,69.2015,25.1473,66.9507,22.9956,69.2015,25.1473,66.9507,22.9956,0.0388418,0.0396456,0.470256,1.07946,1.07946,"em","4","opaka-sim"
63,1,1,1953.98,1694.75,148.111,68.915,25.5005,66.8234,23.2164,68.915,25.5005,66.8234,23.2164,0.0379992,0.0392774,0.465848,-0.250878,-0.250878,"em","4","opaka-sim"
64,1,1,2030.88,1737.01,101.78,70.097,26.8238,67.3794,24.2631,70.097,26.8238,67.3794,24.2631,0.0380768,0.0388765,0.464766,-0.624748,-0.624748,"em","4","opaka-sim"
65,1,1,2101.88,1743.75,198.594,70.0327,28.9914,65.8219,24.6543,70.0327,28.9914,65.8219,24.6543,0.0344227,0.0356474,0.438886,0.0482877,0.0482877,"em","4","opaka-sim"
66,1,1,2146.42,1977.5,98.8446,60.0553,22.8096,57.9356,20.8739,60.0553,22.8096,57.9356,20.8739,0.0288562,0.0296848,0.390995,-0.667646,-0.667646,"em","4","opaka-sim"
67,1,1,2170.63,2029.71,286.371,66.9469,23.7167,65.3834,22.2584,66.9469,23.7167,65.3834,22.2584,0.0323826,0.0330621,0.4205,0.392456,0.392456,"em","4","opaka-sim"
68,1,1,2159.19,1986.52,228.607,62.8229,21.6247,61.0048,20.012,62.8229,21.6247,61.0048,20.012,0.0306256,0.0311255,0.405058,0.17017,0.17017,"em","4","opaka-sim"
69,1,1,2156.22,1970.85,315.525,54.1041,18.2791,52.0292,16.8413,54.1041,18.2791,52.0292,16.8413,0.026885,0.026908,0.369456,0.493519,0.493519,"em","4","opaka-sim"
70,1,1,2189.1,1924.22,115.04,64.0667,22.7112,61.0585,20.2171,64.0667,22.7112,61.0585,20.2171,0.031322,0.0316024,0.410087,-0.512014,-0.512014,"em","4","opaka-sim"
71,1,1,2211.22,1955.84,227.455,61.0742,22.2298,58.2842,19.801,61.0742,22.2298,58.2842,19.801,0.0293684,0.0297739,0.39374,0.167319,0.167319,"em","4","opaka-sim"
72,1,1,2235.01,1994.38,160.088,74.8893,27.5063,71.5463,24.4643,74.8893,27.5063,71.5463,24.4643,0.0351679,0.0358808,0.442767,-0.186668,-0.186668,"em","4","opaka-sim"
73,1,1,2220.57,2046.34,416.459,73.9634,26.0189,71.3732,23.9313,73.9634,26.0189,71.3732,23.9313,0.0353855,0.0358557,0.443551,0.765834,0.765834,"em","4","opaka-sim"
74,1,1,2218.91,1995.87,95.2514,73.4139,25.7385,71.9219,23.9007,73.4139,25.7385,71.9219,23.9007,0.035419,0.0365262,0.446132,-0.705975,-0.705975,"em","4","opaka-sim"
75,1,1,2227.05,1978.86,146.185,75.9751,27.205,74.1058,25.0165,75.9751,27.205,74.1058,25.0165,0.0369524,0.0379619,0.457288,-0.399616,-0.399616,"em","4","opaka-sim"
1,1,1,2821.37,2621.05,176.027,38.9936,12.468,67.4069,20.461,38.9936,12.468,67.4069,20.461,0.0145687,0.0262236,0.300548,-0.081511,-0.081511,"om","4","opaka-sim"
2,1,1,2765.17,2567.28,203.401,57.19,18.3479,98.8059,30.0662,57.19,18.3479,98.8059,30.0662,0.0220035,0.0396063,0.401162,0.0649827,0.0649827,"om","4","opaka-sim"
3,1,1,2661.84,2467.79,192.528,55.3475,17.8165,95.5568,29.1701,55.3475,17.8165,95.5568,29.1701,0.0221247,0.0398245,0.402604,0.0138658,0.0138658,"om","4","opaka-sim"
4,1,1,2569.23,2376.36,384.901,58.5904,18.941,101.168,31.0366,58.5904,18.941,101.168,31.0366,0.0243979,0.0439162,0.428632,0.710396,0.710396,"om","4","opaka-sim"
5,1,1,2495.25,2272.91,70.4389,23.8851,7.82644,41.1312,12.7793,23.8851,7.82644,41.1312,12.7793,0.0101208,0.0182174,0.226404,-0.983217,-0.983217,"om","4","opaka-sim"
6,1,1,2532.72,2281.43,1072.81,70.3095,23.9106,120.569,38.5299,70.3095,23.9106,120.569,38.5299,0.030147,0.0542645,0.48683,1.73968,1.73968,"om","4","opaka-sim"
7,1,1,2536.21,2188.51,205.393,78.9074,27.9665,133.43,44.4093,78.9074,27.9665,133.43,44.4093,0.0342546,0.0616583,0.522758,0.0910454,0.0910454,"om","4","opaka-sim"
8,1,1,2624.4,2178.17,74.9298,48.4358,18.5413,82.3718,29.7488,48.4358,18.5413,82.3718,29.7488,0.02095,0.0377101,0.388389,-0.916808,-0.916808,"om","4","opaka-sim"
9,1,1,2815.41,2183.09,157.848,55.4848,24.6379,88.2508,34.7065,55.4848,24.6379,88.2508,34.7065,0.0200579,0.0361043,0.377221,-0.171976,-0.171976,"om","4","opaka-sim"
10,1,1,2943.33,2723.67,228.543,90.4861,35.954,151.079,56.7402,90.4861,35.954,151.079,56.7402,0.0316042,0.0568875,0.500063,0.176053,0.176053,"om","4","opaka-sim"
11,1,1,2906.05,2774.43,202.927,82.6904,29.3368,142.808,49.244,82.6904,29.3368,142.808,49.244,0.0298866,0.0537958,0.484406,0.0555231,0.0555231,"om","4","opaka-sim"
12,1,1,2832.25,2647.44,110.504,85.0232,28.7519,147.542,48.0873,85.0232,28.7519,147.542,48.0873,0.032089,0.0577601,0.504343,-0.548032,-0.548032,"om","4","opaka-sim"
13,1,1,2709.71,2502.42,154.084,80.4554,27.0362,138.749,44.2139,80.4554,27.0362,138.749,44.2139,0.0316777,0.0570198,0.500716,-0.210237,-0.210237,"om","4","opaka-sim"
14,1,1,2567.13,2394.69,136.653,82.6439,27.2741,142.47,44.6059,82.6439,27.2741,142.47,44.6059,0.0343689,0.061864,0.523698,-0.325926,-0.325926,"om","4","opaka-sim"
15,1,1,2395.46,2258.88,79.0431,87.5887,27.9984,152.082,46.6122,87.5887,27.9984,152.082,46.6122,0.0396445,0.0713602,0.564068,-0.867311,-0.867311,"om","4","opaka-sim"
16,1,1,2190.35,2050.04,236.14,81.8783,26.1232,141.833,43.021,81.8783,26.1232,141.833,43.021,0.040536,0.0729647,0.570342,0.237925,0.237925,"om","4","opaka-sim"
17,1,1,2000.75,1869.46,65.8198,77.522,24.4853,134.304,40.4819,77.522,24.4853,134.304,40.4819,0.0423152,0.0761674,0.582436,-1.02841,-1.02841,"om","4","opaka-sim"
18,1,1,1828.15,1692.19,75.0472,75.2729,24.0269,130.65,39.7804,75.2729,24.0269,130.65,39.7804,0.0457247,0.0823044,0.604128,-0.884093,-0.884093,"om","4","opaka-sim"
19,1,1,1658.94,1504.09,309.811,71.8192,24.253,122.291,38.252,71.8192,24.253,122.291,38.252,0.0469356,0.084484,0.611397,0.550794,0.550794,"om","4","opaka-sim"
20,1,1,1518.46,1411.66,457.728,65.9891,21.4431,114.019,35.6227,65.9891,21.4431,114.019,35.6227,0.0481919,0.0867454,0.618713,0.951014,0.951014,"om","4","opaka-sim"
21,1,1,1454.44,1258.39,120.82,63.7982,21.7986,110.079,36.1091,63.7982,21.7986,110.079,36.1091,0.0513314,0.0923965,0.636054,-0.361613,-0.361613,"om","4","opaka-sim"
22,1,1,1455,1126.48,100.201,67.2233,27.9851,110.354,41.5435,67.2233,27.9851,110.354,41.5435,0.0529354,0.0952838,0.644427,-0.528282,-0.528282,"om","4","opaka-sim"
23,1,1,1465.46,1164.09,505.992,77.0184,34.6716,122.609,49.6277,77.0184,34.6716,122.609,49.6277,0.0560308,0.100856,0.659733,1.0848,1.0848,"om","4","opaka-sim"
24,1,1,1472.89,1295.26,86.6492,75.3013,30.891,125.449,49.1747,75.3013,30.891,125.449,49.1747,0.0563278,0.10139,0.661145,-0.699084,-0.699084,"om","4","opaka-sim"
25,1,1,1491.86,1252.9,148.712,78.5589,32.6295,132.292,52.0197,78.5589,32.6295,132.292,52.0197,0.0605106,0.108919,0.680075,-0.153132,-0.153132,"om","4","opaka-sim"
26,1,1,1489.13,1184.1,77.1654,82.5574,37.0261,132.396,53.6286,82.5574,37.0261,132.396,53.6286,0.0590918,0.106365,0.673849,-0.798954,-0.798954,"om","4","opaka-sim"
27,1,1,1447.18,1313.75,172.683,86.7418,35.2842,118.582,45.7816,86.7418,35.2842,118.582,45.7816,0.06455,0.0948885,0.665615,-0.0119231,-0.0119231,"om","4","opaka-sim"
28,1,1,1380.07,1254.7,63.216,83.4607,31.9435,115.538,42.0595,83.4607,31.9435,115.538,42.0595,0.0656659,0.0965289,0.67017,-1.00884,-1.00884,"om","4","opaka-sim"
29,1,1,1290.84,1177.64,176.563,76.7426,28.1505,107.378,37.5954,76.7426,28.1505,107.378,37.5954,0.0656873,0.0965603,0.670257,0.0297899,0.0297899,"om","4","opaka-sim"
30,1,1,1201.9,1070.06,327.715,78.26,28.8709,108.222,37.4391,78.26,28.8709,108.222,37.4391,0.071956,0.105775,0.694079,0.666813,0.666813,"om","4","opaka-sim"
31,1,1,1129.73,992.761,229.198,65.7997,23.9146,91.9477,32.0516,65.7997,23.9146,91.9477,32.0516,0.0668121,0.0982137,0.674746,0.324804,0.324804,"om","4","opaka-sim"
32,1,1,1124.53,896.604,218.774,72.1638,29.5138,98.0729,37.1443,72.1638,29.5138,98.0729,37.1443,0.07526,0.110632,0.705543,0.300907,0.300907,"om","4","opaka-sim"
33,1,1,1139.77,864.508,188.14,81.6075,37.3606,106.569,44.2575,81.6075,37.3606,106.569,44.2575,0.0810319,0.119117,0.723985,0.158603,0.158603,"om","4","opaka-sim"
34,1,1,1150.94,922.825,194.725,78.437,36.0309,103.312,43.9432,78.437,36.0309,103.312,43.9432,0.0757934,0.111416,0.707329,0.177865,0.177865,"om","4","opaka-sim"
35,1,1,1167.33,959.385,217.806,81.9871,36.9459,109.037,45.8162,81.9871,36.9459,109.037,45.8162,0.0778608,0.114455,0.71409,0.281226,0.281226,"om","4","opaka-sim"
36,1,1,1170.54,974.088,160.787,75.3521,33.1038,101.186,41.682,75.3521,33.1038,101.186,41.682,0.0713408,0.104871,0.691866,-0.0256123,-0.0256123,"om","4","opaka-sim"
37,1,1,1181.32,981.318,138.425,81.8062,35.6833,110.013,44.8211,81.8062,35.6833,110.013,44.8211,0.0773011,0.113633,0.712285,-0.176964,-0.176964,"om","4","opaka-sim"
38,1,1,1163.18,973.33,286.411,82.4647,35.7705,110.597,44.5914,82.4647,35.7705,110.597,44.5914,0.078269,0.115055,0.715395,0.551902,0.551902,"om","4","opaka-sim"
39,1,1,1141.16,970.203,97.816,81.5711,34.2274,110.579,43.7324,81.5711,34.2274,110.579,43.7324,0.0802616,0.117985,0.721633,-0.521738,-0.521738,"om","4","opaka-sim"
40,1,1,1117.34,931.146,147.338,78.046,33.1734,105.973,42.1873,78.046,33.1734,105.973,42.1873,0.0795405,0.116925,0.719401,-0.103018,-0.103018,"om","4","opaka-sim"
41,1,1,1091.33,891.32,99.7726,79.225,34.8439,105.003,42.327,79.225,34.8439,105.003,42.327,0.0794498,0.116791,0.719118,-0.482869,-0.482869,"om","4","opaka-sim"
42,1,1,1046.95,920.295,101.93,81.3765,33.7433,110.804,43.3844,81.3765,33.7433,110.804,43.3844,0.0868887,0.127726,0.740874,-0.468819,-0.468819,"om","4","opaka-sim"
43,1,1,973.409,849.408,79.1825,68.608,27.8772,93.5472,35.6286,68.608,27.8772,93.5472,35.6286,0.077724,0.114254,0.71365,-0.702613,-0.702613,"om","4","opaka-sim"
44,1,1,910.039,808.365,192.145,59.9407,23.5517,82.4163,30.5292,59.9407,23.5517,82.4163,30.5292,0.0725801,0.106693,0.696299,0.19604,0.19604,"om","4","opaka-sim"
45,1,1,862.053,757.529,449.976,61.9294,23.8267,85.3871,31.0894,61.9294,23.8267,85.3871,31.0894,0.0810495,0.119143,0.724038,1.06363,1.06363,"om","4","opaka-sim"
46,1,1,850.788,692.131,180.62,52.991,20.9492,73.0966,27.6829,52.991,20.9492,73.0966,27.6829,0.0746338,0.109712,0.703424,0.17533,0.17533,"om","4","opaka-sim"
47,1,1,914.948,642.692,124.152,54.4373,25.877,71.6639,31.2194,54.4373,25.877,71.6639,31.2194,0.0716183,0.105279,0.692867,-0.17822,-0.17822,"om","4","opaka-sim"
48,1,1,1002.04,690.906,159.148,68.464,35.8995,85.2063,40.1563,68.464,35.8995,85.2063,40.1563,0.0739403,0.108692,0.701048,0.0492689,0.0492689,"om","4","opaka-sim"
49,1,1,1051.96,875.049,206.051,71.1779,33.9565,93.2054,41.703,71.1779,33.9565,93.2054,41.703,0.0726929,0.106859,0.696698,0.246669,0.246669,"om","4","opaka-sim"
50,1,1,1074.29,924.679,90.3489,71.6321,31.4134,96.9731,40.4699,71.6321,31.4134,96.9731,40.4699,0.0735377,0.1081,0.699654,-0.590498,-0.590498,"om","4","opaka-sim"
51,1,1,1072.57,905.888,212.465,69.111,29.7418,93.6712,37.8174,69.111,29.7418,93.6712,37.8174,0.0712229,0.104698,0.691439,0.269275,0.269275,"om","4","opaka-sim"
52,1,1,1063.85,897.656,312.859,68.5974,29.1044,92.3904,36.5442,68.5974,29.1044,92.3904,36.5442,0.0704974,0.103631,0.688788,0.658348,0.658348,"om","4","opaka-sim"
53,1,1,1068.72,905.422,275.324,59.8438,24.5506,82.0534,32.078,59.8438,24.5506,82.0534,32.078,0.0634239,0.0932331,0.660915,0.528562,0.528562,"om","4","opaka-sim"
54,1,1,1122.72,874.953,365.252,60.2689,26.5633,80.7791,33.0492,60.2689,26.5633,80.7791,33.0492,0.0611829,0.0899389,0.651239,0.819159,0.819159,"om","4","opaka-sim"
55,1,1,1218.57,915.858,144.575,63.0801,29.5729,82.5402,35.6192,63.0801,29.5729,82.5402,35.6192,0.0577972,0.0849618,0.635754,-0.118205,-0.118205,"om","4","opaka-sim"
56,1,1,1329.46,1031.9,58.7097,73.7523,35.0791,67.768,29.8097,73.7523,35.0791,67.768,29.8097,0.0605424,0.0623587,0.596945,-1.04531,-1.04531,"om","4","opaka-sim"
57,1,1,1420.82,1163.13,285.035,80.5768,37.4477,74.027,31.6681,80.5768,37.4477,74.027,31.6681,0.0588821,0.0606486,0.589115,0.511044,0.511044,"om","4","opaka-sim"
58,1,1,1469.14,1322,306.197,78.2218,32.3987,74.7491,29.5243,78.2218,32.3987,74.7491,29.5243,0.0559397,0.0576179,0.574628,0.559786,0.559786,"om","4","opaka-sim"
59,1,1,1513.97,1345.21,93.9697,73.8653,28.5536,72.3229,27.0295,73.8653,28.5536,72.3229,27.0295,0.0537294,0.0553413,0.563199,-0.624398,-0.624398,"om","4","opaka-sim"
60,1,1,1560.55,1298.41,225.597,73.3264,30.0274,69.855,26.4435,73.3264,30.0274,69.855,26.4435,0.0507934,0.0523172,0.547238,0.257378,0.257378,"om","4","opaka-sim"
61,1,1,1599.43,1369.71,134.007,74.1428,30.3166,70.0874,26.5081,74.1428,30.3166,70.0874,26.5081,0.0487428,0.0502051,0.535527,-0.272468,-0.272468,"om","4","opaka-sim"
62,1,1,1620.62,1461.9,411.569,69.2137,26.5977,67.1438,24.557,69.2137,26.5977,67.1438,24.557,0.0456304,0.0469993,0.516799,0.839188,0.839188,"om","4","opaka-sim"
63,1,1,1657.61,1446.94,106.668,69.2662,26.3794,66.9285,24.0599,69.2662,26.3794,66.9285,24.0599,0.0449703,0.0463194,0.512671,-0.509458,-0.509458,"om","4","opaka-sim"
64,1,1,1704.87,1471.15,97.0605,70.4071,27.2241,68.2041,24.8314,70.4071,27.2241,68.2041,24.8314,0.0452612,0.046619,0.514497,-0.606434,-0.606434,"om","4","opaka-sim"
65,1,1,1735.1,1470.16,239.526,69.6867,28.3287,65.6529,24.3518,69.6867,28.3287,65.6529,24.3518,0.0417498,0.0430023,0.491694,0.296997,0.296997,"om","4","opaka-sim"
66,1,1,1750.25,1610.33,119.077,60.127,22.4687,58.3735,20.7991,60.127,22.4687,58.3735,20.7991,0.0359831,0.0370626,0.450308,-0.415477,-0.415477,"om","4","opaka-sim"
67,1,1,1765.25,1614.07,270.458,67.1918,24.1093,66.068,22.6872,67.1918,24.1093,66.068,22.6872,0.0408059,0.0420301,0.48527,0.404538,0.404538,"om","4","opaka-sim"
68,1,1,1762.02,1564.21,235.691,62.8111,22.8142,61.0107,20.7941,62.8111,22.8142,61.0107,20.7941,0.0378855,0.0390221,0.464543,0.271494,0.271494,"om","4","opaka-sim"
69,1,1,1779.08,1585.68,324.04,53.59,19.3023,52.3939,17.9079,53.59,19.3023,52.3939,17.9079,0.0324595,0.0334333,0.422278,0.587847,0.587847,"om","4","opaka-sim"
70,1,1,1838.83,1577.81,78.5787,63.9479,24.1122,61.5848,21.6255,63.9479,24.1122,61.5848,21.6255,0.0374829,0.0386074,0.46158,-0.828196,-0.828196,"om","4","opaka-sim"
